team,elo_rating,generated_at
Buffalo Bills,1591,2025-11-10T22:02:29.195757
Miami Dolphins,1492,2025-11-10T22:02:29.195757
New York Jets,1463,2025-11-10T22:02:29.195757
New England Patriots,1542,2025-11-10T22:02:29.195757
Cincinnati Bengals,1529,2025-11-10T22:02:29.195757
Baltimore Ravens,1606,2025-11-10T22:02:29.195757
Cleveland Browns,1449,2025-11-10T22:02:29.195757
Pittsburgh Steelers,1525,2025-11-10T22:02:29.195757
Jacksonville Jaguars,1495,2025-11-10T22:02:29.195757
Tennessee Titans,1441,2025-11-10T22:02:29.195757
Indianapolis Colts,1520,2025-11-10T22:02:29.195757
Houston Texans,1559,2025-11-10T22:02:29.195757
Kansas City Chiefs,1581,2025-11-10T22:02:29.195757
Los Angeles Chargers,1557,2025-11-10T22:02:29.195757
Denver Broncos,1585,2025-11-10T22:02:29.195757
Las Vegas Raiders,1469,2025-11-10T22:02:29.195757
Philadelphia Eagles,1610,2025-11-10T22:02:29.195757
Dallas Cowboys,1488,2025-11-10T22:02:29.195757
New York Giants,1468,2025-11-10T22:02:29.195757
Washington Commanders,1527,2025-11-10T22:02:29.195757
Detroit Lions,1567,2025-11-10T22:02:29.195757
Minnesota Vikings,1524,2025-11-10T22:02:29.195757
Green Bay Packers,1571,2025-11-10T22:02:29.195757
Chicago Bears,1537,2025-11-10T22:02:29.195757
New Orleans Saints,1419,2025-11-10T22:02:29.195757
Carolina Panthers,1469,2025-11-10T22:02:29.195757
Atlanta Falcons,1487,2025-11-10T22:02:29.195757
Tampa Bay Buccaneers,1547,2025-11-10T22:02:29.195757
San Francisco 49ers,1558,2025-11-10T22:02:29.195757
Seattle Seahawks,1551,2025-11-10T22:02:29.195757
Los Angeles Rams,1582,2025-11-10T22:02:29.195757
Arizona Cardinals,1533,2025-11-10T22:02:29.195757
